NUMERO;CONTEUDO
1;O foro do domicílio ou da residência do alimentando é o competente para a ação de investigação de paternidade, quando cumulada com a de alimentos.
2;"Não cabe o habeas data (CF, art. 5, LXXII, letra ""a"") se não houve recusa de informações por parte da autoridade administrativa."
3;Compete ao Tribunal Regional Federal dirimir conflito de competência verificado, na respectiva região, entre juiz federal e juiz estadual investido de jurisdição federal.
4;Compete à Justiça Estadual julgar causa decorrente do processo eleitoral sindical.
5;A simples interpretação de cláusula contratual não enseja recurso especial.
6;Compete a Justiça Comum Estadual processar e julgar delito decorrente de acidente de trânsito envolvendo viatura de polícia militar, salvo se autor e vítima forem policiais militares em situação de atividade.
7;A pretensão de simples reexame de prova não enseja recurso especial.
8;Aplica-se a correção monetária aos créditos habilitados em concordata preventiva, salvo durante o período compreendido entre as datas de vigência da Lei 7.274, de 10-12-84, e do Decreto-lei 2.283, de 27-02-86.
9;A exigência da prisão provisória, para apelar, não ofende a garantia constitucional da presunção de inocência.
10;Instalada a Junta de Conciliação e Julgamento, cessa a competência do juiz de direito em matéria trabalhista, inclusive para a execução das sentenças por ele proferidas.
11;A presença da União ou de qualquer de seus entes, na ação de usucapião especial, não afasta a competência do foro da situação do imóvel.
12;Em desapropriação, são cumuláveis juros compensatórios e moratórios.
13;A divergência entre julgados do mesmo tribunal não enseja recurso especial.
14;Arbitrados os honorários advocatícios em percentual sobre o valor da causa, a correção monetária incide a partir do respectivo ajuizamento.
15;Compete à justiça estadual processar e julgar os litígios decorrentes de acidente do trabalho.
16;A legislação ordinária sobre crédito rural não veda a incidência da correção monetária.
17;Quando o falso se exaure no estelionato, sem mais potencialidade lesiva, é por este absorvido.
18;A sentença concessiva do perdão judicial é declaratória da extinção da punibilidade, não subsistindo qualquer efeito condenatório.
19;A fixação do horário bancário, para atendimento ao público, é da competência da União.
20;A mercadoria importada de país signatário do GATT é isenta do ICM, quando contemplado com esse favor o similar nacional.
21;Pronunciado o réu, fica superada a alegação do constrangimento ilegal da prisão por excesso de prazo na instrução.
22;Não há conflito de competência entre o Tribunal de Justiça e Tribunal de Alçada do mesmo Estado-membro.
23;O Banco Central do Brasil é parte legítima nas ações fundadas na resolução 1154, de 1986.
24;Aplica-se ao crime de estelionato, em que figure como vítima entidade autárquica da previdência social, a qualificadora do § 3o, do art. 171 do Código Penal.
25;Nas ações da Lei de Falências o prazo para a interposição de recurso conta-se da intimação da parte.
26;O avalista do título de crédito vinculado a contrato de mútuo também responde pelas obrigações pactuadas, quando no contrato figurar como devedor solidário.
27;Pode a execução fundar-se em mais de um título extrajudicial relativos ao mesmo negócio.
28;O contrato de alienação fiduciária em garantia pode ter por objeto bem que já integrava o patrimônio do devedor.
29;No pagamento em juízo para elidir falência, são devidos correção monetária, juros e honorários de advogado.
30;A comissão de permanência e a correção monetária são inacumuláveis.
31;A aquisição, pelo segurado, de mais de um imóvel financiado pelo Sistema Financeiro da Habitação, situados na mesma localidade, não exime a seguradora da obrigação de pagamento dos seguros.
32;Compete à justiça federal processar justificações judiciais destinadas a instruir pedidos perante entidades que nela tem exclusividade de foro, ressalvada a aplicação do art. 15, II da Lei 5.010/66.
33;A incompetência relativa não pode ser declarada de ofício.
34;Compete à Justiça Estadual processar e julgar causa relativa a mensalidade escolar, cobrada por estabelecimento particular de ensino.
35;Incide correção monetária sobre as prestações pagas, quando de sua restituição, em virtude da retirada ou exclusão do participante de plano de consórcio.
36;A correção monetária integra o valor da restituição, em caso de adiantamento de câmbio, requerida em concordata ou falência.
37;São cumuláveis as indenizações por dano material e dano moral oriundos do mesmo fato.
38;Compete a Justiça Estadual Comum, na vigência da Constituição de 1988, o processo por contravenção penal, ainda que praticada em detrimento de bens, serviços ou interesse da União ou de suas entidades.
39;Prescreve em vinte anos a ação para haver indenização, por responsabilidade civil, de sociedade de economia mista.
40;Para obtenção dos benefícios de saída temporária e trabalho externo, considera-se o tempo de cumprimento da pena no regime fechado.
41;O Superior Tribunal de Justiça não tem competência para processar e julgar, originariamente, mandado de segurança contra ato de outros tribunais ou dos respectivos órgãos.
42;Compete à Justiça Comum Estadual processar e julgar as causas cíveis em que é parte sociedade de economia mista e os crimes praticados em seu detrimento.
43;Incide correção monetária sobre dívida por ato ilícito a partir da data do efetivo prejuízo.
