NUMERO;CONTEÚDO;SITUAÇÃO;RAMOS;ASSUNTOS;NORMAS RELACIONADAS;Dje;OBS
1;Ofende a garantia constitucional do ato jurídico perfeito a decisão que, sem ponderar as circunstâncias do caso concreto, desconsidera a validez e a eficácia de acordo constante de termo de adesão instituído pela Lei Complementar 110/2001.;;;;;;
2;É inconstitucional a lei ou ato normativo estadual ou distrital que disponha sobre sistemas de consórcios e sorteios, inclusive bingos e loterias.;;;;;;
3;Nos processos perante o Tribunal de Contas da União asseguram-se o contraditório e a ampla defesa quando da decisão puder resultar anulação ou revogação de ato administrativo que beneficie o interessado, excetuada a apreciação da legalidade do ato de concessão inicial de aposentadoria, reforma e pensão.;;Administrativo;;;;
4;Salvo nos casos previstos na Constituição, o salário mínimo não pode ser usado como indexador de base de cálculo de vantagem de servidor público ou de empregado, nem ser substituído por decisão judicial.;;Administrativo;Servidor público;;;
5;A falta de defesa técnica por advogado no processo administrativo disciplinar não ofende a Constituição.;;Administrativo;Servidor público;;;
6;Não viola a Constituição o estabelecimento de remuneração inferior ao salário mínimo para as praças prestadoras de serviço militar inicial.;;;;;;
7;A norma do §3º do artigo 192 da Constituição, revogada pela Emenda Constitucional nº 40/2003, que limitava a taxa de juros reais a 12% ao ano, tinha sua aplicação condicionada à edição de lei complementar.;;;;;;
8;São inconstitucionais o parágrafo único do artigo 5º do Decreto-Lei nº 1.569/1977 e os artigos 45 e 46 da Lei 8.212/1991, que tratam de prescrição e decadência de crédito tributário.;;Tributário;;;;
9;O disposto no artigo 127 da Lei nº 7.210/1984 (Lei de Execução Penal) foi recebido pela ordem constitucional vigente, e não se lhe aplica o limite temporal previsto no caput do artigo 58.;;Leis penais especiais;Lei de execuções penais;Lei 7.210/1984;;
10;Viola a cláusula de reserva de plenário (CF, artigo 97) a decisão de órgão fracionário de Tribunal que embora não declare expressamente a inconstitucionalidade de lei ou ato normativo do poder público, afasta sua incidência, no todo ou em parte.;Válida;Constitucional;;;;
11;;;;;;;
12;;;;;;;
13;;;;;;;
14;;;;;;;
15;;;;;;;
16;;;;;;;
17;;;;;;;
18;A dissolução da sociedade ou do vínculo conjugal, no curso do mandato, não afasta a inelegibilidade prevista no §7º do artigo 14 da CF.;Válida;Constitucional;Direitos políticos.;CF, art. 14, §7º.;;
19;;;;;;;
20;;;;;;;
21;;;;;;;
22;;;;;;;
23;;;;;;;
24;;;;;;;
25;É ilícita a prisão civil de depositário infiel, qualquer que seja a modalidade de depósito.;Válida;Constitucional;Direitos e garantias fundamentais.;;;
26;;;;;;;
27;Compete à Justiça Estadual julgar causas entre consumidor e concessionária de serviço público de telefonia, quando a Anatel não seja litisconsorte passiva necessária, assistente nem oponente.;Válida;Processo Civil;"Competência; Consumidor.";;23/12/2009;
28;;;;;;;
29;;;;;;;
30;;;;;;;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;A contribuição confederativa de que trata o art. 8º, IV, da CF, só é exigível dos filiados ao sindicato respectivo.;Válida;;"Contribuição confederativa; Sindicato.";"Súmula STF 666; CF, art. 8º, IV.";;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;Os honorários advocatícios incluídos na condenação ou destacados do montante principal devido ao credor consubstanciam verba de natureza alimentar cuja satisfação ocorrerá com a expedição de precatório ou requisição de pequeno valor, observada ordem especial restrita aos créditos dessa natureza.;Suplantada;Processo Civil;Honorários advocatícios;"CPC, art. 85, §14; CF, art. 100, §1º; Lei 8.906/94, art. 22 e 23.";02/06/2015;
48;;;;;;;
49;;;;;;;
